line,station,pm25,longitude,latitude
Jubilee,Canary Wharf,187,-0.0194248127094569,51.5035506956234
Jubilee,Canning Town,33,0.00817443720763503,51.5138365875392
Jubilee,Canons Park,4,-0.294647358479799,51.6077617209237
Jubilee,Dollis Hill,5,-0.238795675533425,51.5519041333243
Jubilee,Finchley Road,39,-0.180498818533294,51.5470668977089
Jubilee,Green Park,236,-0.14292070761651,51.506848212113
Jubilee,Kilburn,7,-0.204635192772142,51.5468812023008
Jubilee,Kingsbury,7,-0.278793902069576,51.5847530004887
Jubilee,London Bridge,243,-0.0869220955940429,51.505498503653
Jubilee,Neasden,7,-0.249779806996674,51.5539658783127
Jubilee,North Greenwich,103,0.00361190130663549,51.5001827896737
Jubilee,Queensbury,6,-0.285779773372603,51.5943510480259
Jubilee,Southwark,249,-0.105089363816432,51.5038420597855
Jubilee,St. John's Wood,131,-0.174177214632385,51.5345681276845
Jubilee,Stanmore,4,-0.303101298774732,51.6196190347314
Jubilee,Stratford,5,-0.00319174020653238,51.5413053643912
Jubilee,Swiss Cottage,119,-0.174764402914515,51.5433179091445
Jubilee,Waterloo,255,-0.11406591406559,51.5035011566721
Jubilee,Wembley Park,10,-0.279244922709806,51.5632591005855
Jubilee,West Ham,8,0.00504268288418963,51.5281795214982
Jubilee,West Hampstead,13,-0.190753295437581,51.546703920841
Jubilee,Westminster,242,-0.124813404822685,51.5010836418734
Jubilee,Willesden Green,5,-0.222410053029815,51.5493100236787
District,Acton Town,2,-0.280257274070714,51.5027466033931
District,Aldgate East,64,-0.072288898066186,51.515231670986
District,Barking,3,0.0808571498882476,51.5394488616848
District,Barons Court,8,-0.213605705235308,51.4901590780153
District,Becontree,6,0.127403295075779,51.5402865749019
District,Blackfriars,75,-0.103604742817189,51.5114887137154
District,Bow Road,80,-0.0248170692999619,51.5267976888314
District,Bromley-by-Bow,56,-0.0116566951412326,51.5247678155014
District,Cannon Street,102,-0.0906943496103875,51.5114321259199
District,Chiswick Park,2,-0.267754041031575,51.4942985999835
District,Dagenham East,3,0.165873249505814,51.5441149436181
District,Dagenham Heathway,4,0.147684774635545,51.5416256211932
District,Ealing Broadway,2,-0.30150387811454,51.5149171042746
District,Ealing Common,3,-0.288265829499857,51.5101205872841
District,Earl's Court,21,-0.193547083566538,51.4918031725385
District,East Ham,7,0.0514729275731952,51.5389232813123
District,Elm Park,5,0.199174764773392,51.5497993372327
District,Embankment,104,-0.122355890226947,51.507240181685
District,Gloucester Road,24,-0.182992073518021,51.4942389349944
District,Hammersmith,3,-0.222399662053271,51.4925677962556
